hotel_name,n_comment,rank_in_country,url
日惹美利亞酒店,"1,482 則評論","超值：第 1，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d302635-Reviews-Melia_Purosani-Yogyakarta_Java.html
巴厘島庫塔海灘喜來得酒店,"1,545 則評論","超值：第 2，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d3947950-Reviews-The_Kuta_Beach_Heritage_Hotel_Bali_Managed_by_Accor-Kuta_Kuta_District_Bali.html
大廈度假村酒店,"1,351 則評論","超值：第 3，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297701-d500134-Reviews-The_Mansion_Resort_Hotel_Spa-Ubud_Bali.html
阿斯頓庫塔酒店,"1,022 則評論","超值：第 4，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d1532058-Reviews-Aston_Kuta_Hotel_Residence-Kuta_Kuta_District_Bali.html
日惹鳳凰酒店-美憬閣,"3,602 則評論","超值：第 5，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d446805-Reviews-The_Phoenix_Hotel_Yogyakarta_MGallery_Collection-Yogyakarta_Java.html
日惹凱悅酒店,"1,793 則評論","超值：第 6，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g3916131-d307076-Reviews-Hyatt_Regency_Yogyakarta-Ngaglik_Yogyakarta_Java.html
日惹大阿斯頓酒店,"1,129 則評論","超值：第 7，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d2422977-Reviews-Grand_Aston_Yogyakarta-Yogyakarta_Java.html
棉蘭JW 萬豪酒店,"1,111 則評論","超值：第 8，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297725-d1225872-Reviews-JW_Marriott_Hotel_Medan-Medan_North_Sumatra_Sumatra.html
塞提雅布迪美居酒店,"1,526 則評論","超值：第 9，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d6499583-Reviews-Grand_Mercure_Bandung_Setiabudi-Bandung_West_Java_Java.html
峉里島庫塔海灘馨樂庭飯店,"1,118 則評論","超值：第 10，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d6960687-Reviews-Citadines_Kuta_Beach_Bali-Kuta_Kuta_District_Bali.html
加姆布魯烏克馬里博洛飯店,"1,131 則評論","超值：第 11，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d2446501-Reviews-Jambuluwuk_Malioboro-Yogyakarta_Java.html
朗邦別墅酒店,"1,189 則評論","超值：第 12，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g469404-d450866-Reviews-Hotel_Vila_Lumbung-Seminyak_Kuta_District_Bali.html
馬蘭哈里斯會議飯店,"1,078 則評論","超值：第 13，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297710-d3870219-Reviews-HARRIS_Hotel_Conventions_Malang-Malang_East_Java_Java.html
雅加達諾富特曼加達廣場飯店,"1,442 則評論","超值：第 14，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d578291-Reviews-Novotel_Jakarta_Mangga_Dua_Square-Jakarta_Java.html
阿樂姆庫度假村,"1,012 則評論","超值：第 15，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d308723-Reviews-Alam_KulKul_Boutique_Resort-Legian_Kuta_District_Bali.html
賽吉吉海灘酒店,"1,009 則評論","超值：第 16，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g1592993-d300419-Reviews-Kila_Senggigi_Beach_Lombok-Senggigi_Lombok_West_Nusa_Tenggara.html
萬隆諾富特飯店,"1,371 則評論","超值：第 17，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d631965-Reviews-Novotel_Bandung-Bandung_West_Java_Java.html
龍目島旅游度假村,"1,056 則評論","超值：第 18，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g2708413-d299126-Reviews-Holiday_Resort_Lombok-Mangsit_Senggigi_Lombok_West_Nusa_Tenggara.html
夏爾帕古塔飯店,"1,065 則評論","超值：第 19，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d4587462-Reviews-Harper_Kuta-Kuta_Kuta_District_Bali.html
峇厘島雷吉安美居飯店,"1,463 則評論","超值：第 20，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d7159969-Reviews-Mercure_Bali_Legian-Legian_Kuta_District_Bali.html
世紀公園酒店,"1,069 則評論","超值：第 21，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d450823-Reviews-Century_Park_Hotel-Jakarta_Java.html
雅加達哈莫尼美爵酒店,"1,094 則評論","超值：第 22，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d3530328-Reviews-Grand_Mercure_Jakarta_Harmoni-Jakarta_Java.html
拉瑪亞那度假村,"1,732 則評論","超值：第 23，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d304646-Reviews-Ramayana_Resort_Spa-Kuta_Kuta_District_Bali.html
塞米亞克哈文酒店,"2,014 則評論","超值：第 24，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g469404-d1450614-Reviews-The_Haven_Bali-Seminyak_Kuta_District_Bali.html
瓦圖吉姆巴爾貝爾雷索特瑞士酒店,"1,679 則評論","超值：第 25，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297700-d5292367-Reviews-Swiss_Belresort_Watu_Jimbar-Sanur_Denpasar_Bali.html
峇里島庫塔伊甸飯店 - 道吉亞飯店管理,"1,573 則評論","超值：第 26，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d4107186-Reviews-EDEN_Hotel_Kuta_Bali_Managed_by_Tauzia-Kuta_Kuta_District_Bali.html
阿瑪迪假日別墅酒店,"2,075 則評論","超值：第 27，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g469404-d2169346-Reviews-Amadea_Resort_Villas-Seminyak_Kuta_District_Bali.html
拉瑪海灘度假村,"1,610 則評論","超值：第 28，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g562690-d320028-Reviews-Rama_Beach_Resort_and_Villas-Tuban_Kuta_Kuta_District_Bali.html
庫塔海景精品度假村,"1,633 則評論","超值：第 29，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d1461739-Reviews-Kuta_Seaview_Boutique_Resort_Spa-Kuta_Kuta_District_Bali.html
巴厘維拉酒店,"1,036 則評論","超值：第 30，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d505558-Reviews-The_Vira_Bali_Boutique_Hotel_Suite-Kuta_Kuta_District_Bali.html
雅加達阿利拉酒店,"1,072 則評論","超值：第 31，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d301645-Reviews-Alila_Jakarta-Jakarta_Java.html
極樂維揚酒店,"1,355 則評論","超值：第 32，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d2545307-Reviews-Bliss_Surfer_Hotel-Legian_Kuta_District_Bali.html
