hotel_id,address,rank,phone,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible
1,"Banjar Kepitu, Desa Tagalalang, Ubud 80561, Indonesia",排名第 1 (共 227 家) 的烏布飯店,+62 361 4792553,,,,,
2,"Banjar Bresela, Desa Bresela, Ubud 80572, Indonesia",排名第 6 (共 227 家) 的烏布飯店,+62 361 978098,0,0,0,5,0
3,"Jl. Raya Campuhan, Ubud 80571, Indonesia",排名第 13 (共 227 家) 的烏布飯店,+62 361 974466,1,6,48,517,0
4,"Jl. Raya Silungan | Banjar Silungan, Lodtunduh, Ubud 80571, Indonesia",排名第 7 (共 227 家) 的烏布飯店,,,,,,
5,"Banjar Carik, Desa Puhu, Payangan 80572, Indonesia",排名第 1 (共 11 家) 的佩艷艮飯店,+62 361 752111,,,,,
6,"Jl. Kayu Aya, Seminyak 80361, Indonesia",排名第 4 (共 151 家) 的塞米雅客飯店,,5,17,79,708,9
7,"Jl. M.H. Thamrin no. 81 | Central Jakarta, Jakarta 10310, Indonesia",排名第 2 (共 512 家) 的雅加達飯店,+62 21 29938888,,,,,
8,"Jl. Kelabang Moding, Ubud 80571, Indonesia",排名第 11 (共 227 家) 的烏布飯店,,0,2,2,125,0
9,"Jl. Monkey Forest, Ubud 80571, Indonesia",排名第 12 (共 227 家) 的烏布飯店,,1,4,50,628,0
10,"Jalan Lebak Sari 8 Petitenget, Seminyak 80361, Indonesia",排名第 1 (共 151 家) 的塞米雅客飯店,,,,,,
