hotel_id,hotel_name,n_comment,n_star,url
1,Amora Hotel Jamison Sydney,11144,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d284258-Reviews-Amora_Hotel_Jamison_Sydney-Sydney_New_South_Wales.html
2,Rydges Sydney Airport Hotel,5758,4 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g552104-d3947530-Reviews-Rydges_Sydney_Airport_Hotel-Mascot_Botany_Bay_Greater_Sydney_New_South_Wales.html
3,Four Seasons Hotel Sydney,7832,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256544-Reviews-Four_Seasons_Hotel_Sydney-Sydney_New_South_Wales.html
4,"Meriton Suites Herschel Street, Brisbane",8223,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255068-d4025465-Reviews-Meriton_Suites_Herschel_Street_Brisbane-Brisbane_Brisbane_Region_Queensland.html
5,The Grace Hotel Sydney,7803,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d257296-Reviews-The_Grace_Hotel_Sydney-Sydney_New_South_Wales.html
6,"Meriton Suites Kent Street, Sydney",7914,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d629301-Reviews-Meriton_Suites_Kent_Street_Sydney-Sydney_New_South_Wales.html
7,Sofitel Sydney Darling Harbour,2060,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d11687464-Reviews-Sofitel_Sydney_Darling_Harbour-Sydney_New_South_Wales.html
8,Pegasus Apart'Hotel,5138,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255100-d3686304-Reviews-Pegasus_Apart_Hotel-Melbourne_Victoria.html
9,Meriton Suites Southport,3449,5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g495002-d10607031-Reviews-Meriton_Suites_Southport-Southport_Gold_Coast_Queensland.html
10,Grand Chancellor Hotel Hobart,6043,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255097-d256756-Reviews-Grand_Chancellor_Hotel_Hobart-Hobart_Greater_Hobart_Tasmania.html
11,Next Hotel Brisbane,5756,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255068-d256662-Reviews-Next_Hotel_Brisbane-Brisbane_Brisbane_Region_Queensland.html
12,Travelodge Hotel Melbourne Southbank,7893,4 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257808-Reviews-Travelodge_Hotel_Melbourne_Southbank-Melbourne_Victoria.html
13,Meriton Suites Zetland,4586,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d3514899-Reviews-Meriton_Suites_Zetland-Sydney_New_South_Wales.html
14,The Hotel Windsor,10432,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255100-d257433-Reviews-The_Hotel_Windsor-Melbourne_Victoria.html
15,Sydney Harbour Marriott Hotel at Circular Quay,2518,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d255674-Reviews-Sydney_Harbour_Marriott_Hotel_at_Circular_Quay-Sydney_New_South_Wales.html
16,MACq 01 Hotel,2244,5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255097-d12399439-Reviews-MACq_01_Hotel-Hobart_Greater_Hobart_Tasmania.html
17,Crown Towers Perth,1478,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g4212605-d10748736-Reviews-Crown_Towers_Perth-Burswood_Victoria_Park_Greater_Perth_Western_Australia.html
18,Treasury On Collins,1856,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255100-d7085664-Reviews-Treasury_On_Collins-Melbourne_Victoria.html
19,Atura Adelaide Airport,563,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255093-d14990342-Reviews-Atura_Adelaide_Airport-Adelaide_Greater_Adelaide_South_Australia.html
20,Sheraton Grand Sydney Hyde Park,5901,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256637-Reviews-Sheraton_Grand_Sydney_Hyde_Park-Sydney_New_South_Wales.html
21,"The Langham, Melbourne",7152,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255100-d549485-Reviews-The_Langham_Melbourne-Melbourne_Victoria.html
22,Travelodge Hotel Melbourne Docklands,5520,4 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255100-d1557275-Reviews-Travelodge_Hotel_Melbourne_Docklands-Melbourne_Victoria.html
23,Sir Stamford at Circular Quay Hotel Sydney,4518,4.5 of 5 bubbles,https://www.tripadvisor.com.au/Hotel_Review-g255060-d256639-Reviews-Sir_Stamford_at_Circular_Quay_Hotel_Sydney-Sydney_New_South_Wales.html
